Covered_Recipient_Type,Noncovered_Recipient_Entity_Name,Teaching_Hospital_CCN,Teaching_Hospital_ID,Teaching_Hospital_Name,Covered_Recipient_Profile_ID,Covered_Recipient_NPI,Covered_Recipient_First_Name,Covered_Recipient_Last_Name,Recipient_City,Recipient_State,Recipient_Zip_Code,Covered_Recipient_Primary_Type_1,Covered_Recipient_Specialty_1,Total_Amount_of_Payment_USDollars,Date_of_Payment,Record_ID,Program_Year,Payment_Publication_Date
Covered Recipient Teaching Hospital,Not available,260141.0,10617.0,UNIV OF MISSOURI HEALTH CARE,Not available,Not available,Not available,Not available,Columbia,MO,65212,Not available,Not available,1032.91,06/30/2021,850618585,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,65449.0,1447202163.0,RISHI,GUPTA,Marietta,GA,30060,Medical Doctor,Allopathic & Osteopathic Physicians|Neurological Surgery,600.0,12/01/2021,801013265,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50660.0,11290.0,Usc Norris Cancer Hospital,Not available,Not available,Not available,Not available,Los Angeles,CA,90089,Not available,Not available,6023.0,04/30/2021,787601809,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,440039.0,10425.0,Vanderbilt University Medical Center,Not available,Not available,Not available,Not available,NASHVILLE,TN,37232,Not available,Not available,4608.3,11/03/2021,806265573,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100271.0,10837.0,MOFFITT CANCER CENTER,Not available,Not available,Not available,Not available,Tampa,FL,33612,Not available,Not available,124.0,11/04/2021,792393865,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,110372.0,1447360086.0,JONATHAN,CORREN,Los Angeles,CA,90025,Medical Doctor,Allopathic & Osteopathic Physicians|Allergy & Immunology,250.0,07/10/2021,838651151,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230236.0,10496.0,Metropolitan Hospital,Not available,Not available,Not available,Not available,Wyoming,MI,49519,Not available,Not available,1630.0,01/14/2021,840443335,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,110010.0,10785.0,Emory University Hospital,Not available,Not available,Not available,Not available,ATLANTA,GA,30322,Not available,Not available,3510.0,12/17/2021,831691463,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,40016.0,10971.0,Uams Medical Centrer,Not available,Not available,Not available,Not available,Little Rock,AR,72205,Not available,Not available,566.0,12/22/2021,842916355,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,10033.0,10929.0,University Of Alabama Hospital,Not available,Not available,Not available,Not available,Birmingham,AL,35249,Not available,Not available,16.25,03/17/2021,810975507,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450076.0,11031.0,UT MD ANDERSON CANCER CENTER,Not available,Not available,Not available,Not available,Houston,TX,77030,Not available,Not available,78431.04,03/22/2021,832788863,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,195456.0,1295829927.0,WILLIAM,RAND,POMPANO BEACH,FL,33064,Medical Doctor,Allopathic & Osteopathic Physicians|Ophthalmology,362.5,06/23/2021,807654739,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,500027.0,11177.0,SWEDISH MEDICAL CENTER,Not available,Not available,Not available,Not available,Seattle,WA,98122,Not available,Not available,1500.0,12/17/2021,792398893,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,300003.0,9970.0,MARY HITCHCOCK MEMORIAL HOSP,Not available,Not available,Not available,Not available,Lebanon,NH,03756,Not available,Not available,5.8,04/13/2021,816659655,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360084.0,10370.0,AULTMAN HOSPITAL,Not available,Not available,Not available,Not available,Canton,OH,44710,Not available,Not available,202.0,12/16/2021,838378093,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,116924.0,1598704371.0,BRADLEY,HINES,MEMPHIS,TN,38111,Doctor of Optometry,Eye and Vision Services Providers|Optometrist,1324.0,06/24/2021,807654997,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,54144.0,11286.0,Langley Porter Psychiatric Hospital,Not available,Not available,Not available,Not available,SAN FRANCISCO,CA,94143,Not available,Not available,4739.4,03/18/2021,807111399,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140119.0,10441.0,RUSH UNIVERSITY MEDICAL CENTER,Not available,Not available,Not available,Not available,Chicago,IL,60612,Not available,Not available,975.0,07/08/2021,792389361,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50077.0,11300.0,SCRIPPS MERCY HOSPITAL,Not available,Not available,Not available,Not available,San Diego,CA,92103,Not available,Not available,13641.26,07/22/2021,836193037,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,60028.0,11131.0,Saint Joseph Hospital,Not available,Not available,Not available,Not available,AURORA,CO,80016,Not available,Not available,5915.0,12/16/2021,792678823,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330101.0,10089.0,New York Presbyterian Hospital,Not available,Not available,Not available,Not available,Bronxville,NY,10065,Not available,Not available,33256.8,07/21/2021,832708043,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220110.0,9985.0,Brigham And Womens Hospital,Not available,Not available,Not available,Not available,BOSTON,MA,02115,Not available,Not available,6134.19,08/16/2021,809689341,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,169873.0,1730189382.0,SUSAN,WHALEY,TALLAHASSEE,FL,32308,Doctor of Optometry,Eye and Vision Services Providers|Optometrist,638.75,02/03/2021,807637753,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,123867.0,1740207208.0,DAVID,ALPERS,SAINT LOUIS,MO,63110,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,1925.0,03/02/2021,816643507,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360112.0,10395.0,St Vincent Medical Center,Not available,Not available,Not available,Not available,Toledo,OH,43608,Not available,Not available,135.0,03/25/2021,840444961,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,240010.0,10582.0,Mayo Clinic Hospital Rochester,Not available,Not available,Not available,Not available,ROCHESTER,MN,55902,Not available,Not available,9919.0,10/22/2021,828418507,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,147237.0,1235224296.0,VAL,HANSEN,BOUNTIFUL,UT,84010,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine,276.95,12/23/2021,816644831,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220071.0,9988.0,Massachusetts General Hospital,Not available,Not available,Not available,Not available,Boston,MA,02114,Not available,Not available,705.0,05/13/2021,840446595,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,70034.0,10026.0,Norwalk Hospital,Not available,Not available,Not available,Not available,Norwalk,CT,06856,Not available,Not available,605.0,10/12/2021,842918591,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,109737.0,1437160959.0,TILAK,MALLIK,MARRERO,LA,70072,Medical Doctor,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",500.0,11/11/2021,816645579,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,60857.0,1356377758.0,GENE,SUNG,LOS ANGELES,CA,90033,Medical Doctor,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,2000.0,06/10/2021,811262901,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220071.0,9988.0,MASSACHUSETTS GENERAL HOSPITAL,Not available,Not available,Not available,Not available,Boston,MA,02114,Not available,Not available,18.45,03/04/2021,816660113,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,160067.0,10601.0,Mercyone Waterloo Medical Center,Not available,Not available,Not available,Not available,WATERLOO,IA,50702,Not available,Not available,1500.0,07/20/2021,837041461,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,546635.0,1447355029.0,LEONARDO,KAPURAL,Winston-Salem,NC,27103,Medical Doctor,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,10.38,11/23/2021,855222867,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50625.0,11293.0,Cedars-Sinai Medical Center,Not available,Not available,Not available,Not available,Los Angeles,CA,90048,Not available,Not available,1864.64,04/09/2021,803535631,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,53302.0,11301.0,Childrens Hospital Los Angeles,Not available,Not available,Not available,Not available,Los Angeles,CA,90027,Not available,Not available,2.65,08/31/2021,811743415,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,363300.0,10334.0,Childrens Hospital Medical Center,Not available,Not available,Not available,Not available,Cincinnati,OH,45229,Not available,Not available,7733.47,05/13/2021,850488195,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,490059.0,10735.0,ST. MARYS HOSPITAL,Not available,Not available,Not available,Not available,Richmond,VA,23226,Not available,Not available,2822.82,08/19/2021,836193131,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,180103.0,10847.0,BAPTIST HEALTH LEXINGTON,Not available,Not available,Not available,Not available,Lexington,KY,40503,Not available,Not available,862.75,09/30/2021,850619895,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,341444.0,1528008372.0,RICHARD,FERRO,OKEMOS,MI,48864,Medical Doctor,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,1842.1,07/06/2021,800041897,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,460009.0,11165.0,U OF U HOSPITALS & CLINICS,Not available,Not available,Not available,Not available,Salt Lake City,UT,84132,Not available,Not available,13580.0,03/11/2021,832338023,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,169873.0,1730189382.0,SUSAN,WHALEY,TALLAHASSEE,FL,32308,Doctor of Optometry,Eye and Vision Services Providers|Optometrist,882.5,02/10/2021,807638011,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,270004.0,11081.0,Billings Clinic,Not available,Not available,Not available,Not available,BILLINGS,MT,59101,Not available,Not available,5000.0,07/19/2021,800042341,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,195456.0,1295829927.0,WILLIAM,RAND,POMPANO BEACH,FL,33064,Medical Doctor,Allopathic & Osteopathic Physicians|Ophthalmology,343.75,02/10/2021,807638267,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,357387.0,1881662591.0,SIBYL,WRAY,Knoxville,TN,37922,Medical Doctor,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,45.22,08/03/2021,838656349,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,30103.0,11162.0,MAYO CLINIC HOSPITAL,Not available,Not available,Not available,Not available,Phoenix,AZ,85054,Not available,Not available,16200.0,10/01/2021,848739745,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,160083.0,10594.0,MERCY MEDICAL CENTER-DES MOINES,Not available,Not available,Not available,Not available,DES MOINES,IA,50314,Not available,Not available,996.0,07/16/2021,831704435,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,130006.0,11100.0,St. Lukes Regional Medical Center,Not available,Not available,Not available,Not available,Boise,ID,83712,Not available,Not available,4589.0,01/11/2021,830756525,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,307434.0,1760577985.0,JOSEPH,HAN,Norfolk,VA,23507,Medical Doctor,Allopathic & Osteopathic Physicians|Otolaryngology,1250.0,05/05/2021,838656757,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,520098.0,10572.0,University Of Wi Hospitals & Clinics,Not available,Not available,Not available,Not available,MADISON,WI,53792,Not available,Not available,3123.2,01/15/2021,831689379,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,10033.0,10929.0,UNIVERSITY OF ALABAMA HOSPITAL,Not available,Not available,Not available,Not available,Birmingham,AL,35249,Not available,Not available,6670.3,10/14/2021,792394869,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220071.0,9988.0,MASSACHUSETTS GENERAL HOSPITAL,Not available,Not available,Not available,Not available,Boston,MA,02114,Not available,Not available,7200.0,10/30/2021,816661049,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,380007.0,11204.0,LEGACY EMANUEL HOSPITAL & HEALTH CTR,Not available,Not available,Not available,Not available,Portland,OR,97232,Not available,Not available,1000.0,06/22/2021,792399517,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,160058.0,10604.0,University Of Iowa Hosp & Clinics,Not available,Not available,Not available,Not available,Iowa City,IA,52242,Not available,Not available,56.9,04/22/2021,811672853,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,500008.0,11198.0,UNIVERSITY OF WASHINGTON MED CTR,Not available,Not available,Not available,Not available,Seattle,WA,98195,Not available,Not available,9800.53,12/31/2021,848742729,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,363300.0,10334.0,Childrens Hospital Medical Center,Not available,Not available,Not available,Not available,Cincinnati,OH,45229,Not available,Not available,845.78,06/17/2021,850491129,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,7226809.0,1417342981.0,Deepak,Agarwal,Cleveland,OH,44195,Doctor of Osteopathy,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,16.0,09/10/2021,855223649,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,130006.0,11100.0,St. Lukes Regional Medical Center,Not available,Not available,Not available,Not available,BOISE,ID,83701,Not available,Not available,208.0,12/06/2021,803536477,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220162.0,9984.0,DANA-FARBER CANCER INSTITUTE,Not available,Not available,Not available,Not available,Boston,MA,02215,Not available,Not available,646764.8,05/18/2021,853310049,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,450690.0,11068.0,Ut Health Center At Tyler,Not available,Not available,Not available,Not available,TYLER,TX,75708,Not available,Not available,161.0,10/06/2021,792679597,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390133.0,10231.0,Lehigh Valley,Not available,Not available,Not available,Not available,ALLENTOWN,PA,18103,Not available,Not available,530.0,05/17/2021,800042863,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330024.0,10066.0,Mount Sinai Hospital,Not available,Not available,Not available,Not available,NEW YORK,NY,10029,Not available,Not available,750.0,09/28/2021,801014289,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,453300.0,11046.0,COOK CHILDRENS MEDICAL CENTER,Not available,Not available,Not available,Not available,Fort Worth,TX,76104,Not available,Not available,750.0,05/10/2021,849773587,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140150.0,10495.0,BOARD OF TRUSTEES OF THE UNIVERSITY,Not available,Not available,Not available,Not available,Chicago,IL,60612,Not available,Not available,29.76,12/31/2021,792389821,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,Cleveland Clinic Hospital,Not available,Not available,Not available,Not available,CLEVELAND,OH,44195,Not available,Not available,8570.0,12/06/2021,800043317,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,234011.0,10501.0,Kingswood Hospital,Not available,Not available,Not available,Not available,Detroit,MI,48202,Not available,Not available,2000.0,10/25/2021,842920773,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,357387.0,1881662591.0,SIBYL,WRAY,Knoxville,TN,37922,Medical Doctor,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,50.0,12/08/2021,842921525,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,Cleveland Clinic Hospital,Not available,Not available,Not available,Not available,CLEVELAND,OH,44195,Not available,Not available,23475.63,06/28/2021,855138005,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,83300.0,10812.0,ALFRED I DUPONT HOSP FOR CHILDREN,Not available,Not available,Not available,Not available,Wilmington,DE,19803,Not available,Not available,10553.33,10/13/2021,816647917,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,390111.0,10224.0,Hospital Of The Univ Of Penna,Not available,Not available,Not available,Not available,PHILA,PA,19104,Not available,Not available,1813.0,09/13/2021,838661213,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140281.0,10492.0,NORTHWESTERN MEMORIAL HOSPITAL,Not available,Not available,Not available,Not available,Chicago,IL,60611,Not available,Not available,1750.0,09/27/2021,837696865,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,303222.0,1679551444.0,BRADLEY,GIEDD,WINTER PARK,FL,32792,Doctor of Optometry,Eye and Vision Services Providers|Optometrist,354.0,05/05/2021,807648565,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230297.0,10146.0,Karmanos Cancer Hospital,Not available,Not available,Not available,Not available,Detroit,MI,48201,Not available,Not available,600.0,03/04/2021,835054857,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,60022.0,10643.0,MEMORIAL HEALTH SYSTEM,Not available,Not available,Not available,Not available,Colorado Springs,CO,80909,Not available,Not available,565.0,10/22/2021,838380399,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,53302.0,11301.0,Childrens Hospital Los Angeles,Not available,Not available,Not available,Not available,Los Angeles,CA,90027,Not available,Not available,4.5,08/31/2021,811744917,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,380009.0,11212.0,OHSU HOSPITAL AND CLINICS,Not available,Not available,Not available,Not available,Portland,OR,97239,Not available,Not available,328.9,07/29/2021,792400123,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360064.0,10366.0,St. Elizabeth Health Center,Not available,Not available,Not available,Not available,YOUNGSTOWN,OH,44501,Not available,Not available,1500.0,02/15/2021,800045815,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,440039.0,10425.0,Vanderbilt University Medical Center,Not available,Not available,Not available,Not available,Nashville,TN,37232,Not available,Not available,4.5,06/28/2021,811488665,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,Cleveland Clinic Hospital,Not available,Not available,Not available,Not available,Cleveland,OH,44195,Not available,Not available,430.46,10/26/2021,827022055,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50573.0,11330.0,Eisenhower Medical Center,Not available,Not available,Not available,Not available,RANCHO MIRAGE,CA,92270,Not available,Not available,100.0,12/07/2021,801014545,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,440039.0,10425.0,Vanderbilt University Medical Center,Not available,Not available,Not available,Not available,Nashville,TN,37232,Not available,Not available,1452.0,08/16/2021,787604487,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230053.0,10500.0,HENRY FORD HOSPITAL,Not available,Not available,Not available,Not available,Detroit,MI,48202,Not available,Not available,1697.5,06/30/2021,792389947,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,460001.0,11275.0,Utah Valley Hospital,Not available,Not available,Not available,Not available,SALT LAKE CITY,UT,84111,Not available,Not available,1000.0,12/06/2021,800043717,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,470003.0,9973.0,University Of Vermont Medical Center,Not available,Not available,Not available,Not available,BURLINGTON,VT,05401,Not available,Not available,4819.5,02/02/2021,801014801,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230130.0,10522.0,William Beaumont Hospital- Royal Oak,Not available,Not available,Not available,Not available,Royal Oak,MI,48073,Not available,Not available,750.0,01/25/2021,787605025,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230053.0,10500.0,HENRY FORD HOSPITAL,Not available,Not available,Not available,Not available,Detroit,MI,48202,Not available,Not available,1372.5,10/14/2021,792390071,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,40014.0,10968.0,WHITE COUNTY MEDICAL CENTER,Not available,Not available,Not available,Not available,Bradford,AR,72020,Not available,Not available,1168.02,03/03/2021,792395301,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50599.0,11287.0,Uc Davis Medical Center,Not available,Not available,Not available,Not available,Sacramento,CA,95817,Not available,Not available,1700.0,06/25/2021,842922265,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,330028.0,11027.0,Richmond University Medical Center,Not available,Not available,Not available,Not available,Staten Island,NY,10310,Not available,Not available,900.0,07/14/2021,831397617,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,150089.0,10401.0,Ball Memorial Hospital,Not available,Not available,Not available,Not available,Muncie,IN,47303,Not available,Not available,20452.2,05/21/2021,826452909,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,200009.0,9968.0,Maine Medical Center,Not available,Not available,Not available,Not available,Portland,ME,04102,Not available,Not available,716.4,03/02/2021,771547712,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,440015.0,10348.0,University Of Tennessee Medical Cent,Not available,Not available,Not available,Not available,Knoxville,TN,37920,Not available,Not available,75.0,09/09/2021,840451475,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,70034.0,10026.0,Norwalk Hospital,Not available,Not available,Not available,Not available,Norwalk,CT,06856,Not available,Not available,420.0,04/22/2021,842923011,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100069.0,10824.0,Adventhealth Carrollwood,Not available,Not available,Not available,Not available,TAMPA,FL,33614,Not available,Not available,235.94,03/09/2021,843813683,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,430077.0,10641.0,RAPID CITY REGIONAL HOSPITAL,Not available,Not available,Not available,Not available,Rapid City,SD,57702,Not available,Not available,572.0,07/01/2021,838381543,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50262.0,11328.0,RONALD REAGAN UCLA,Not available,Not available,Not available,Not available,Los Angeles,CA,90095,Not available,Not available,7756.3,10/15/2021,816664333,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100069.0,10824.0,Adventhealth Carrollwood,Not available,Not available,Not available,Not available,TAMPA,FL,33614,Not available,Not available,20.31,09/14/2021,843813895,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,430077.0,10641.0,RAPID CITY REGIONAL HOSPITAL,Not available,Not available,Not available,Not available,Rapid City,SD,57702,Not available,Not available,354.0,10/25/2021,838381929,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100069.0,10824.0,Adventhealth Carrollwood,Not available,Not available,Not available,Not available,TAMPA,FL,33614,Not available,Not available,267.19,09/14/2021,843814347,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360137.0,10389.0,UH CLEVELAND MEDICAL CENTER,Not available,Not available,Not available,Not available,Cleveland,OH,44106,Not available,Not available,2341.1,06/23/2021,836193607,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140127.0,10435.0,Advocate Bromenn Medical Center,Not available,Not available,Not available,Not available,OAK LAWN,IL,60453,Not available,Not available,1994.0,02/01/2021,800044207,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,200650.0,1437192598.0,JEFFREY,CHAMBERS,MINNEAPOLIS,MN,55433,Medical Doctor,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,3300.0,04/07/2021,830993299,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,210009.0,10695.0,The Johns Hopkins Hospital,Not available,Not available,Not available,Not available,Baltimore,MD,21287,Not available,Not available,2450.0,02/16/2021,849336955,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,230130.0,10522.0,WILLIAM BEAUMONT HOSPITAL- ROYAL OAK,Not available,Not available,Not available,Not available,Royal Oak,MI,48073,Not available,Not available,16600.0,10/14/2021,792390195,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,100087.0,10843.0,Sarasota Memorial Hospital,Not available,Not available,Not available,Not available,SARASOTA,FL,34239,Not available,Not available,21025.83,03/15/2021,800044489,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,190036.0,10978.0,Ochsner Clinic Foundation,Not available,Not available,Not available,Not available,NEW ORLEANS,LA,70121,Not available,Not available,675.0,04/13/2021,801015313,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,220086.0,9982.0,BETH ISRAEL DEACONESS MEDICAL CENTER,Not available,Not available,Not available,Not available,Boston,MA,02215,Not available,Not available,16150.0,12/20/2021,816648859,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,50348.0,11307.0,Uci Medical Center,Not available,Not available,Not available,Not available,Orange,CA,92868,Not available,Not available,45213.85,06/14/2021,771547968,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,360180.0,10373.0,Cleveland Clinic Hospital,Not available,Not available,Not available,Not available,Cleveland,OH,44195,Not available,Not available,23.06,04/01/2021,811404955,2021,01/20/2023
Covered Recipient Physician,Not available,Not available,Not available,Not available,137094.0,1013902444.0,MARK,LEBWOHL,NEW YORK,NY,10029,Medical Doctor,Allopathic & Osteopathic Physicians|Dermatology,964.0,10/21/2021,800640167,2021,01/20/2023
Covered Recipient Teaching Hospital,Not available,140150.0,10495.0,BOARD OF TRUSTEES OF THE UNIVERSITY,Not available,Not available,Not available,Not available,Chicago,IL,60612,Not available,Not available,2216.0,10/25/2021,816649317,2021,01/20/2023
